k,n,t,y
0.6627935214330812,2,382.39076530323945,1.0
0.44933900615770317,4,117.42195240445041,1.0
0.6899480640618898,3,339.8925818695592,1.0
0.8267531694546908,2,695.5968277650807,1.0
0.1779959872564142,2,37.80632079742852,1.0
0.2243068342292569,1,23.297064971565916,0.9946233559964309
0.3226865362061079,3,457.80276978706615,1.0
0.14606453010335974,2,613.3249926344512,1.0
0.728022572063644,2,405.10139441555594,1.0
0.3835075494835819,1,445.0052199422668,1.0
0.5201643485882266,3,492.0337472915879,1.0
0.052576988257412194,1,652.5009936634195,0.9999999999999988
0.6555687745022473,2,891.9928237557734,1.0
0.32306166696261207,1,699.5846965511453,1.0
0.24611011964160756,1,650.6044563976753,1.0
0.0887805653162993,2,786.5927725317027,1.0
0.4397267309178591,4,150.66211776584115,1.0
0.11746315128614426,4,985.449303162045,1.0
0.9202459591096673,1,918.5264725231154,1.0
0.2710504242279995,3,258.49695249148243,1.0
0.16848754441698177,4,565.7837658310101,1.0
0.9726604014485581,2,975.2260773310891,1.0
0.38302580651286156,1,104.48320588608328,1.0
0.44491397003531274,2,933.6381835642005,1.0
0.9461975287956562,1,153.20623638971696,1.0
0.07595398693843358,2,940.2090629690973,1.0
0.8962898124736686,4,674.198407093598,1.0
0.03339691215810392,3,689.7857081739212,1.0
0.6224955348220759,4,868.4594629173806,1.0
0.270313342702729,2,983.8215795337627,1.0
0.8593521837492342,3,617.8738856570197,1.0
0.18730284781618944,2,225.56323698356596,1.0
0.2722133444870708,4,998.1321040460682,1.0
0.19720045440814327,1,64.1455679952323,0.9999967909485308
0.22721266034658372,3,597.4438585873665,1.0
0.5138248875022334,1,654.0414989631505,1.0
0.7329754106408758,3,812.0100612206613,1.0
0.25973354648559055,4,869.1440586267786,1.0
0.5486005810756124,1,717.0005978351729,1.0
0.23608828869825704,4,657.789562781536,1.0
0.38639947774092287,4,392.7576362665066,1.0
0.7437796776636764,1,836.7004001879751,1.0
0.7183995341103245,1,196.3773284058341,1.0
0.0671615542773979,1,494.43172253501876,0.9999999999999962
0.6753985975247109,2,289.4793117501785,1.0
0.8217133084057543,2,980.4037281902268,1.0
0.261923534680233,2,734.1108994083809,1.0
0.05493695819545774,1,63.68400298967247,0.9697604742287987
0.6013688144974432,2,877.5109425129076,1.0
0.18540542545598226,2,336.58842014049293,1.0
