k,n,t,y
0.3029962209490107,1,78.2136162551736,0.9999999999489609
0.17253764690055773,3,31.290112485431308,1.0
0.17456060328684375,3,27.918280943687932,1.0
0.24877075959675454,2,43.95687263032195,1.0
0.3309342661235951,2,76.19651524857329,1.0
0.14455518179653837,4,91.98559540671161,1.0
0.6535277399880302,3,72.99229539464042,1.0
0.33355283078700326,4,27.884933789913113,1.0
0.788814826000253,3,62.413434007850874,1.0
0.8875121995983979,2,99.37647624200298,1.0
0.29203778753138554,4,24.500909672478166,1.0
0.0969684228601313,2,7.3263713193223,0.9945101239170057
0.5500795814429983,2,12.92320800432709,1.0
0.004456977205813395,1,63.72509288548416,0.2472493788369553
0.8949879500563164,1,78.93884893693888,1.0
0.6074839237844866,2,8.876815148879945,1.0
0.611944981201963,2,58.92837779305654,1.0
0.6645173202706122,1,67.99587125043625,1.0
0.8492347495598065,4,24.789640635252496,1.0
0.5842675102025489,4,0.46093516205234497,0.026028953267809518
0.40789092207262645,2,71.11720317398459,1.0
0.30693667439748185,1,11.282140432108168,0.9686613357532367
0.2312664868498886,3,10.258449431157313,1.0
0.4172799318790623,3,72.36666240301655,1.0
0.382699832703996,3,38.90623953552371,1.0
0.33148729335635485,2,57.01149203681991,1.0
0.6176396912549453,1,56.27226847536395,0.9999999999999992
0.8077753298488468,2,33.05927632050455,1.0
0.6367207677947704,3,52.941196747532594,1.0
0.6632955641722511,3,25.57495848806329,1.0
0.6592738790035827,3,11.030075346012946,1.0
0.9934566688418653,2,51.584620626044185,1.0
0.5321091274710943,4,97.16119845333169,1.0
0.6152118048943752,1,78.81323251936185,1.0
0.655599583334562,4,27.646163508794086,1.0
0.17913613928994188,1,26.53528248961092,0.991377912550919
0.34693733753371814,1,17.33424919736605,0.9975554598823325
0.9135453088258024,2,61.72771649195858,1.0
0.17559221404298697,1,48.649431838536884,0.9998049903373276
0.288914146083601,3,75.4702912180598,1.0
0.46874808496035747,4,88.93552396478583,1.0
0.2193544368339635,2,47.55989039480281,1.0
0.5743506742323271,1,44.778853711792955,0.9999999999932316
0.6103374038621853,1,81.04311745685389,1.0
0.5048535254217208,4,70.07043776240837,1.0
0.7832682431313683,1,43.82156945258623,0.9999999999999988
0.46154925342904585,4,18.531365855595173,1.0
0.5711129340668198,4,31.124043235370813,1.0
0.23203112800916514,2,62.43171649103666,1.0
0.3288431607921566,3,46.63203387360675,1.0
