N,l,theta,y
740.6098466912273,167.52093793594625,2.219293280876614,5131369.662972506
465.78449203289546,160.97473518515648,1.4532835871407892,15275887.997473055
885.6282628954864,116.23478580354515,1.8927207695531478,6213623.120039718
672.7135358583387,147.9760456203605,1.9470086871252315,6814692.149170719
329.3978354291294,136.426677626303,1.4067602778518389,8523982.542903634
431.30836070629323,159.27342229655088,2.874098532239263,198081.49567732564
196.22754903214258,196.6171489054011,2.038928825156652,2868581.889700591
282.6065493839202,110.92673847097402,1.6825619488506611,2779544.175392327
672.1415615606055,132.52162553564858,2.5884288609310295,951117.36360499
288.6667815523879,147.1369939258527,0.8536722688996194,30213772.24551141
710.9624924392793,141.8880903499989,1.560251889926847,14618322.14345846
998.7404468959833,178.31541856143724,0.13725044639533998,6721990209.17611
783.9137189962264,126.65131128226405,1.6572536242083402,10575430.643412394
735.814563409597,116.81835362041738,2.7202883935513253,459097.1964191312
507.0592822890663,150.13683530300614,2.2982593930865716,2299850.3901570844
314.7430667117393,199.00128139987203,0.7036843380178606,92482096.66895469
476.0154533688307,165.88663752843925,1.7772601712046534,8642190.203872409
918.8254241097071,153.9284507857197,2.076047465372949,7569300.2109426875
994.1160768219494,121.18060348581969,2.1412609717490216,4360256.2513308
353.6462413971107,125.52215224922438,0.23794641786763437,389941696.89474416
959.2475255393584,169.1528086739185,2.51258130218839,2904454.0279164547
314.4550502996666,121.29809263180982,2.211777448893367,1163965.1777471255
472.9749586044341,179.35995575165347,2.275824033812376,3249318.8163597677
128.89158399628425,142.87492784765647,0.3662306939512504,76718862.38201426
486.419759990091,106.96982359365208,1.2789623518784459,10062228.457807431
657.1983411194037,120.69542089608555,1.8564973693396114,5363826.677346853
625.9071396776857,132.203527094145,1.4050632158179084,15262072.44432249
478.19030946883345,135.79713695585662,0.48119790130641893,146488710.06582597
440.5215060794789,150.36480691329038,2.8328423576242314,241186.44646707404
792.1800965446323,169.93517859788582,0.2894188038612139,1077219552.5517313
374.6806489033109,114.08998736817604,2.226950649784697,1181115.3423381592
544.5162871745802,155.8134356668036,1.6202531365286241,11974172.771539012
839.6270118094089,122.48060558983207,2.9223222002027223,152619.9109866178
700.5869138558209,189.08590942565064,2.6502376158209113,1574841.4105577061
821.1795531325519,170.57760339303962,1.5269795628289415,26082732.38611046
314.42331998338295,134.57533012630245,0.5922404941557912,61177087.14666776
391.3005242263597,156.69943721963867,2.3650089917187755,1607749.2558152338
684.3183993386867,141.17412540005137,1.490382927841159,16021014.600315109
305.2665805619881,157.47004814459234,1.5509240230678474,7876570.823677975
242.27158182378574,197.33079343716778,3.047475208919311,20922.518678885535
258.495683327588,106.95985910630746,1.8836749862978643,1565259.4719318666
190.73399299021904,113.64726606787636,1.1394905359171943,6002880.67657044
161.1464278206503,149.27149483752743,1.2671803470825662,6653337.925624825
806.2705616769692,127.73681578290974,2.1972403867663868,3431277.6861359314
758.0664861039868,174.46203695215723,1.0793950619397175,64302615.23484255
554.2744794329014,135.7173721675046,0.9107553871084711,42572268.78990173
623.5924417319733,161.15059563049934,1.330648626407989,26301991.964057557
553.6943694481314,110.71573095665433,3.132615223907978,136.753558780077
662.1802251220284,142.51585871277973,2.9591646994473493,112522.39056413926
473.72136877595113,174.99997056920571,0.6407856543234756,131758789.91959567
947.6061725746237,167.08647716989887,3.0565193013655625,47924.95061132643
281.90336300070743,168.84653425644638,0.7071854162518415,58990766.911117174
300.62194976670344,183.22774905273366,1.6658220037984595,8343349.299984631
265.0696248436347,171.65804633879452,0.44906346725508045,149748391.46982092
388.4946847942105,141.48762453758064,1.4610805999386172,9689728.992505282
602.5034049792068,152.1473981451348,1.3378892568099596,22317382.983918834
356.89916004182265,104.12309853724837,3.1233343514213745,322.49620790601637
967.3195230972137,119.37149500374142,2.3238919292857587,2587489.454649285
898.2276599105776,137.64944155112568,1.6645229626742362,14106067.404562138
941.4432060885595,156.56356364683447,0.6473586391412841,205044432.92088178
834.6033791400553,108.91917321874425,0.480374408602349,165065986.18521515
