k,n,t,y
0.597161379200642,1,6.21979905358358,0.9756256463942623
0.07825038512549043,1,8.434846801364586,0.483164176336228
0.7377321472090481,3,6.882744689228603,1.0
0.5307456948840633,2,4.374331874366907,0.9999611460868263
0.09233529204062296,2,6.231856691900559,0.9722893065340925
0.9548833527123062,2,8.518850438664478,1.0
0.8514440959904858,2,1.918262153632686,0.9564168259519903
0.864997874997586,3,7.616844347837411,1.0
0.2416049731977008,2,4.128696682742662,0.9837299828460949
0.7257831730330349,4,5.574968489118462,1.0
0.0026173621156931892,3,6.0359160790806285,0.43761223476951927
0.4561822402129547,2,8.325499743976977,0.9999999999999815
0.16815324447000635,3,4.133717934258845,0.9999930555976964
0.542340383224377,3,8.080404163705031,1.0
0.267265559106561,4,5.381761902448035,1.0
0.4630215314936026,4,9.465692394975939,1.0
0.13379105565704308,1,8.0573694515682,0.6597259527619014
0.4241805010094625,4,0.3727627890453977,0.008156497376847094
0.5586599005719315,1,9.65139668283819,0.9954464508231105
0.7426448338950544,1,4.601750223966327,0.9672045676432037
0.09909219044520645,2,3.5784092158551384,0.7188527537541581
0.6785350951817601,2,9.378143222416002,1.0
0.3798737143747952,4,7.356300450159355,1.0
0.4340992276824587,1,4.220621362461811,0.8399339079590964
0.8978621131276783,3,9.608031933609455,1.0
0.2870577344901336,4,0.625788472979496,0.04306803814832383
0.7844657377435141,3,6.9723704538905125,1.0
0.5209622734568997,3,0.15536952305163054,0.0019519988410229283
0.8898861518468784,4,6.2476748739626515,1.0
0.987951750252482,3,2.508206810328788,0.9999998303060696
0.7584056369284042,1,4.379214561342277,0.9638912842274412
0.8980658644977819,2,8.494940734935232,1.0
0.19592601301777945,4,4.2746903715412135,1.0
0.13911578401590674,2,5.3895386249750485,0.9824186006161372
0.3710249380618499,2,7.586104681234267,0.9999999994667913
0.3792866210860151,3,3.926449593458293,0.9999999998931691
0.021575776267912405,4,6.434422408619231,0.9999999999999999
0.8074399035095111,4,0.640302340236083,0.12691476922089517
0.3757821187653403,1,6.153472154702735,0.9009732045202099
0.7765184856515078,2,7.638601100890704,1.0
0.02549001584078936,3,1.6630587893707127,0.11063238756754845
0.6913304000498116,1,7.762611306758828,0.9953296869726322
0.3004936701248211,4,8.962613656153506,1.0
0.14364366063701695,1,4.705589490538936,0.49131590818527515
0.27345280716690357,1,0.2627328349572011,0.06932488980865181
0.8987300058429125,1,4.928353049722202,0.9880766756186239
0.1567425776129231,4,5.516019141868326,1.0
0.7745171876818372,2,7.8873422684858205,1.0
0.4965938665752281,1,6.365431693286407,0.9576181187459686
0.6629169681052777,3,9.37605361599075,1.0
