L,N,y
0.8121822615425731,1.0712420413112889,0.7581687706621324
0.8050578932191508,0.5935057900696499,1.3564448851032684
1.5773780216367717,0.405083399964447,3.8939586805463113
1.7914544491052495,0.2171136355348764,8.251229567833736
1.0092336299770412,0.9291349165320979,1.086207839162803
0.04157499904196671,1.8168794356983122,0.022882640545704387
0.968876134744421,1.689909373058265,0.5733302330828696
1.760589049349613,1.657975385547827,1.061890945243364
0.06943142720147,1.345937975084886,0.05158590402138782
1.5067188239179443,1.2778549383194646,1.1791000517628891
0.9394120917763145,1.9874122108440262,0.47268105058958015
0.7050676625613164,1.8249245201310658,0.3863544244069221
0.9339835390595663,1.079473493215219,0.8652213740586534
1.9462380170063265,0.7973710427680301,2.4408185306680656
0.3645033349287814,1.8631600056787,0.19563716149864566
0.6558726924009153,1.1949783841544972,0.5488573693866234
0.541077825640194,0.4475337637035064,1.2090212393419797
1.5887314856330061,0.8239626598268925,1.9281595672876548
1.6690188449620085,1.974372828067335,0.8453412755866226
1.1344088401601513,1.7463098424185772,0.6496034166474348
0.1801190216601516,0.03791449597120078,4.750663751325272
1.865337193188567,0.24388437458461065,7.6484489683508885
0.3791949992568,1.4753580017082994,0.2570189735764029
0.7472959655445204,0.8338983189798188,0.89614758602554
1.8759226947289025,1.7198763988541226,1.0907311106651307
